EID,FP,FP_YESNO,Year,SCL,SCLbinned,Season,Fall,Spring,Summer,Winter,OtherSeason,y0,y1,y2
375,0,No,1983,42.3,40-44.9,Spring,0,1,0,0,1,NA,0,NA
374,0,No,1983,57.8,55-59.9,Spring,0,1,0,0,1,NA,0,NA
378,0,No,1983,53.8,50-54.9,Summer,0,0,1,0,1,NA,0,NA
377,0,No,1983,62,60-64.9,Summer,0,0,1,0,1,NA,0,NA
381,0,No,1983,64.1,60-64.9,Summer,0,0,1,0,1,NA,0,NA
385,0,No,1983,45.2,45-49.9,Summer,0,0,1,0,1,NA,0,NA
386,0,No,1983,45.1,45-49.9,Summer,0,0,1,0,1,NA,0,NA
388,0,No,1983,52.5,50-54.9,Summer,0,0,1,0,1,NA,0,NA
393,0,No,1984,47,45-49.9,Spring,0,1,0,0,1,NA,0,NA
396,0,No,1984,36.5,35-39.9,Spring,0,1,0,0,1,NA,0,NA
400,0,No,1984,46.7,45-49.9,Summer,0,0,1,0,1,NA,0,NA
402,0,No,1984,44.1,40-44.9,Summer,0,0,1,0,1,NA,0,NA
403,0,No,1984,42,40-44.9,Summer,0,0,1,0,1,NA,0,NA
407,0,No,1984,37.4,35-39.9,Summer,0,0,1,0,1,NA,0,NA
411,0,No,1984,43.6,40-44.9,Summer,0,0,1,0,1,NA,0,NA
408,0,No,1984,53,50-54.9,Summer,0,0,1,0,1,NA,0,NA
413,0,No,1984,46.7,45-49.9,Summer,0,0,1,0,1,NA,0,NA
414,0,No,1984,37.6,35-39.9,Summer,0,0,1,0,1,NA,0,NA
415,0,No,1984,50.6,50-54.9,Summer,0,0,1,0,1,NA,0,NA
417,0,No,1984,37.5,35-39.9,Fall,1,0,0,0,0,NA,0,NA
423,0,No,1985,42.8,40-44.9,Summer,0,0,1,0,1,NA,0,NA
424,0,No,1985,52.8,50-54.9,Summer,0,0,1,0,1,NA,0,NA
427,0,No,1985,32,30-34.9,Summer,0,0,1,0,1,NA,0,NA
428,0,No,1985,50.2,50-54.9,Summer,0,0,1,0,1,NA,0,NA
429,0,No,1985,51.6,50-54.9,Summer,0,0,1,0,1,NA,0,NA
430,0,No,1985,55.5,55-59.9,Summer,0,0,1,0,1,1,0,NA
432,0,No,1985,39.8,35-39.9,Summer,0,0,1,0,1,NA,0,NA
431,0,No,1985,49,45-49.9,Summer,0,0,1,0,1,NA,0,NA
433,0,No,1985,37,35-39.9,Fall,1,0,0,0,0,NA,0,NA
435,0,No,1985,38,35-39.9,Fall,1,0,0,0,0,NA,0,NA
434,0,No,1985,52.8,50-54.9,Fall,1,0,0,0,0,NA,0,NA
438,0,No,1985,40.8,40-44.9,Fall,1,0,0,0,0,NA,0,NA
439,0,No,1985,42.8,40-44.9,Fall,1,0,0,0,0,NA,0,NA
441,0,No,1985,42,40-44.9,Fall,1,0,0,0,0,NA,0,NA
450,0,No,1986,39,35-39.9,Winter,0,0,0,1,1,1,0,NA
451,0,No,1986,42.2,40-44.9,Winter,0,0,0,1,1,NA,0,NA
453,0,No,1986,43.4,40-44.9,Winter,0,0,0,1,1,NA,0,NA
452,0,No,1986,52.2,50-54.9,Winter,0,0,0,1,1,NA,0,NA
